fold,train_size,test_size,train_positives,test_positives,auc,pr_auc,brier,precision,recall,f1,Regime,Feature_Set,Model
2,8000,2000,1625,406,0.5608562899048772,0.2338457759265442,0.16066990779552623,0.0,0.0,0.0,10%,Sentiment,LogisticRegression
3,8000,2000,1625,406,0.5612534071734522,0.22915145877696413,0.1605188643047571,0.0,0.0,0.0,10%,Sentiment,LogisticRegression
4,8000,2000,1625,406,0.5795439795785922,0.2493272597756604,0.159664327142436,0.0,0.0,0.0,10%,Sentiment,LogisticRegression
5,8000,2000,1624,407,0.5619440704186467,0.22782777063918538,0.16072168781819354,0.0,0.0,0.0,10%,Sentiment,LogisticRegression
1,8000,2000,1625,406,0.5280871618322404,0.20233844933191245,0.1951443,0.14361702127659576,0.0665024630541872,0.09090909090909091,10%,Hybrid,RandomForest
2,8000,2000,1625,406,0.5088532427638126,0.20311097315885016,0.19540435000000003,0.1744186046511628,0.07389162561576355,0.10380622837370242,10%,Hybrid,RandomForest
3,8000,2000,1625,406,0.5492989412266442,0.2247622441083639,0.18729500000000002,0.2358974358974359,0.11330049261083744,0.15307820299500832,10%,Hybrid,RandomForest
4,8000,2000,1625,406,0.5339373018276665,0.21321222747850407,0.1932233,0.20476190476190476,0.10591133004926108,0.1396103896103896,10%,Hybrid,RandomForest
5,8000,2000,1624,407,0.5273061967977222,0.20713301720627342,0.1948418,0.2,0.09582309582309582,0.12956810631229235,10%,Hybrid,RandomForest
1,8000,2000,1625,406,0.5619487486943031,0.22855026811675822,0.16045220885219413,0.0,0.0,0.0,10%,Hybrid,LogisticRegression
2,8000,2000,1625,406,0.5570164595064003,0.22982814306471644,0.16076573417803433,0.0,0.0,0.0,10%,Hybrid,LogisticRegression
